Loading channels: ...working... done
# Name                       Version           Build  Channel             
tensorboard                    1.6.0  py27hf484d3e_0  anaconda/pkgs/main  
tensorboard                    1.6.0  py27hf484d3e_0  pkgs/main           
tensorboard                    1.6.0  py27hf484d3e_1  anaconda/pkgs/main  
tensorboard                    1.6.0  py27hf484d3e_1  pkgs/main           
tensorboard                    1.6.0  py35hf484d3e_0  anaconda/pkgs/main  
tensorboard                    1.6.0  py35hf484d3e_0  pkgs/main           
tensorboard                    1.6.0  py35hf484d3e_1  anaconda/pkgs/main  
tensorboard                    1.6.0  py35hf484d3e_1  pkgs/main           
tensorboard                    1.6.0  py36hf484d3e_0  anaconda/pkgs/main  
tensorboard                    1.6.0  py36hf484d3e_0  pkgs/main           
tensorboard                    1.6.0  py36hf484d3e_1  anaconda/pkgs/main  
tensorboard                    1.6.0  py36hf484d3e_1  pkgs/main           
tensorboard                    1.7.0  py27hf484d3e_0  anaconda/pkgs/main  
tensorboard                    1.7.0  py27hf484d3e_0  pkgs/main           
tensorboard                    1.7.0  py27hf484d3e_1  anaconda/pkgs/main  
tensorboard                    1.7.0  py27hf484d3e_1  pkgs/main           
tensorboard                    1.7.0  py35hf484d3e_0  anaconda/pkgs/main  
tensorboard                    1.7.0  py35hf484d3e_0  pkgs/main           
tensorboard                    1.7.0  py35hf484d3e_1  anaconda/pkgs/main  
tensorboard                    1.7.0  py35hf484d3e_1  pkgs/main           
tensorboard                    1.7.0  py36hf484d3e_0  anaconda/pkgs/main  
tensorboard                    1.7.0  py36hf484d3e_0  pkgs/main           
tensorboard                    1.7.0  py36hf484d3e_1  anaconda/pkgs/main  
tensorboard                    1.7.0  py36hf484d3e_1  pkgs/main           
tensorboard                    1.8.0  py27hf484d3e_0  anaconda/pkgs/main  
tensorboard                    1.8.0  py27hf484d3e_0  pkgs/main           
tensorboard                    1.8.0  py35hf484d3e_0  anaconda/pkgs/main  
tensorboard                    1.8.0  py35hf484d3e_0  pkgs/main           
tensorboard                    1.8.0  py36hf484d3e_0  anaconda/pkgs/main  
tensorboard                    1.8.0  py36hf484d3e_0  pkgs/main           
tensorboard                    1.9.0  py27hf484d3e_0  anaconda/pkgs/main  
tensorboard                    1.9.0  py27hf484d3e_0  pkgs/main           
tensorboard                    1.9.0  py35hf484d3e_0  anaconda/pkgs/main  
tensorboard                    1.9.0  py35hf484d3e_0  pkgs/main           
tensorboard                    1.9.0  py36hf484d3e_0  anaconda/pkgs/main  
tensorboard                    1.9.0  py36hf484d3e_0  pkgs/main           
tensorboard                   1.10.0  py27hf484d3e_0  anaconda/pkgs/main  
tensorboard                   1.10.0  py27hf484d3e_0  pkgs/main           
tensorboard                   1.10.0  py35hf484d3e_0  anaconda/pkgs/main  
tensorboard                   1.10.0  py35hf484d3e_0  pkgs/main           
tensorboard                   1.10.0  py36hf484d3e_0  anaconda/pkgs/main  
tensorboard                   1.10.0  py36hf484d3e_0  pkgs/main           
tensorboard                   1.11.0  py27hf484d3e_0  anaconda/pkgs/main  
tensorboard                   1.11.0  py27hf484d3e_0  pkgs/main           
tensorboard                   1.11.0  py36hf484d3e_0  anaconda/pkgs/main  
tensorboard                   1.11.0  py36hf484d3e_0  pkgs/main           
tensorboard                   1.12.0  py27hf484d3e_0  anaconda/pkgs/main  
tensorboard                   1.12.0  py27hf484d3e_0  pkgs/main           
tensorboard                   1.12.0  py36hf484d3e_0  anaconda/pkgs/main  
tensorboard                   1.12.0  py36hf484d3e_0  pkgs/main           
tensorboard                   1.12.1  py27he6710b0_0  anaconda/pkgs/main  
tensorboard                   1.12.1  py27he6710b0_0  pkgs/main           
tensorboard                   1.12.1  py36he6710b0_0  anaconda/pkgs/main  
tensorboard                   1.12.1  py36he6710b0_0  pkgs/main           
tensorboard                   1.12.2  py27he6710b0_0  anaconda/pkgs/main  
